{8}	{2}	13.40	29.65
{2}	{8}	13.40	50.76
{2}	{3}	7.20	27.27
{3}	{2}	7.20	24.00
{19}	{14}	6.40	26.67
{14}	{19}	6.40	25.00
{10}	{13}	11.20	38.62
{13}	{10}	11.20	37.84
{8}	{7}	11.60	25.66
{7}	{8}	11.60	48.33
{14}	{7}	7.60	29.69
{7}	{14}	7.60	31.67
{5}	{13}	9.40	37.30
{13}	{5}	9.40	31.76
{2}	{11}	6.80	25.76
{11}	{2}	6.80	24.82
{1}	{10}	10.20	34.23
{10}	{1}	10.20	35.17
{9}	{2}	7.20	25.90
{2}	{9}	7.20	27.27
{17}	{6}	7.20	30.25
{6}	{17}	7.20	31.86
{0}	{13}	10.00	37.31
{13}	{0}	10.00	33.78
{1}	{14}	8.20	27.52
{14}	{1}	8.20	32.03
{3}	{4}	8.40	28.00
{4}	{3}	8.40	34.15
{16}	{17}	13.00	30.66
{17}	{16}	13.00	54.62
{9}	{13}	7.20	25.90
{13}	{9}	7.20	24.32
{0}	{2}	8.60	32.09
{2}	{0}	8.60	32.58
{16}	{12}	13.40	31.60
{12}	{16}	13.40	54.92
{16}	{15}	13.80	32.55
{15}	{16}	13.80	49.29
{0}	{19}	7.00	26.12
{19}	{0}	7.00	29.17
{2}	{4}	8.60	32.58
{4}	{2}	8.60	34.96
{16}	{13}	13.80	32.55
{13}	{16}	13.80	46.62
{1}	{19}	6.80	22.82
{19}	{1}	6.80	28.33
{9}	{14}	8.60	30.94
{14}	{9}	8.60	33.59
{3}	{11}	7.80	26.00
{11}	{3}	7.80	28.47
{9}	{15}	8.40	30.22
{15}	{9}	8.40	30.00
{11}	{14}	7.40	27.01
{14}	{11}	7.40	28.91
{9}	{12}	7.60	27.34
{12}	{9}	7.60	31.15
{4}	{7}	6.40	26.02
{7}	{4}	6.40	26.67
{0}	{10}	10.00	37.31
{10}	{0}	10.00	34.48
{0}	{18}	8.40	31.34
{18}	{0}	8.40	30.43
{12}	{5}	7.80	31.97
{5}	{12}	7.80	30.95
{5}	{15}	9.20	36.51
{15}	{5}	9.20	32.86
{2}	{19}	7.80	29.55
{19}	{2}	7.80	32.50
{6}	{7}	5.60	24.78
{7}	{6}	5.60	23.33
{3}	{14}	6.80	22.67
{14}	{3}	6.80	26.56
{17}	{18}	7.20	30.25
{18}	{17}	7.20	26.09
{18}	{12}	6.80	24.64
{12}	{18}	6.80	27.87
{10}	{12}	7.80	26.90
{12}	{10}	7.80	31.97
{18}	{5}	9.80	35.51
{5}	{18}	9.80	38.89
{8}	{3}	25.80	57.08
{3}	{8}	25.80	86.00
{10}	{5}	7.20	24.83
{5}	{10}	7.20	28.57
{16}	{1}	16.20	38.21
{1}	{16}	16.20	54.36
{2}	{7}	6.00	22.73
{7}	{2}	6.00	25.00
{0}	{9}	7.60	28.36
{9}	{0}	7.60	27.34
{1}	{9}	9.60	32.21
{9}	{1}	9.60	34.53
{10}	{2}	8.80	30.34
{2}	{10}	8.80	33.33
{18}	{2}	8.60	31.16
{2}	{18}	8.60	32.58
{1}	{11}	7.40	24.83
{11}	{1}	7.40	27.01
{17}	{19}	7.20	30.25
{19}	{17}	7.20	30.00
{19}	{12}	7.20	30.00
{12}	{19}	7.20	29.51
{16}	{0}	10.20	24.06
{0}	{16}	10.20	38.06
{2}	{5}	6.80	25.76
{5}	{2}	6.80	26.98
{19}	{5}	7.20	30.00
{5}	{19}	7.20	28.57
{2}	{15}	8.60	32.58
{15}	{2}	8.60	30.71
{19}	{15}	7.00	29.17
{15}	{19}	7.00	25.00
{2}	{12}	8.20	31.06
{12}	{2}	8.20	33.61
{17}	{7}	5.40	22.69
{7}	{17}	5.40	22.50
{12}	{13}	9.20	37.70
{13}	{12}	9.20	31.08
{7}	{15}	6.00	25.00
{15}	{7}	6.00	21.43
{8}	{4}	11.80	26.11
{4}	{8}	11.80	47.97
{9}	{19}	6.40	23.02
{19}	{9}	6.40	26.67
{10}	{4}	8.40	28.97
{4}	{10}	8.40	34.15
{6}	{15}	7.80	34.51
{15}	{6}	7.80	27.86
{18}	{4}	7.80	28.26
{4}	{18}	7.80	31.71
{19}	{11}	7.60	31.67
{11}	{19}	7.60	27.74
{1}	{15}	10.80	36.24
{15}	{1}	10.80	38.57
{4}	{5}	8.80	35.77
{5}	{4}	8.80	34.92
{9}	{7}	6.80	24.46
{7}	{9}	6.80	28.33
{16}	{5}	12.20	28.77
{5}	{16}	12.20	48.41
{17}	{9}	7.40	31.09
{9}	{17}	7.40	26.62
{10}	{11}	9.60	33.10
{11}	{10}	9.60	35.04
{16}	{7}	9.80	23.11
{7}	{16}	9.80	40.83
{9}	{5}	9.00	32.37
{5}	{9}	9.00	35.71
{11}	{5}	7.60	27.74
{5}	{11}	7.60	30.16
{1}	{7}	7.00	23.49
{7}	{1}	7.00	29.17
{4}	{13}	8.60	34.96
{13}	{4}	8.60	29.05
{16}	{2}	13.60	32.08
{2}	{16}	13.60	51.52
{0}	{3}	5.60	20.90
{3}	{0}	5.60	18.67
{8}	{10}	13.40	29.65
{10}	{8}	13.40	46.21
{8}	{18}	14.80	32.74
{18}	{8}	14.80	53.62
{9}	{11}	7.80	28.06
{11}	{9}	7.80	28.47
{3}	{12}	8.00	26.67
{12}	{3}	8.00	32.79
{3}	{5}	7.80	26.00
{5}	{3}	7.80	30.95
{17}	{15}	7.40	31.09
{15}	{17}	7.40	26.43
{1}	{6}	7.00	23.49
{6}	{1}	7.00	30.97
{8}	{5}	12.60	27.88
{5}	{8}	12.60	50.00
{8}	{15}	12.40	27.43
{15}	{8}	12.40	44.29
{18}	{3}	9.00	32.61
{3}	{18}	9.00	30.00
{17}	{14}	5.80	24.37
{14}	{17}	5.80	22.66
{8}	{12}	11.80	26.11
{12}	{8}	11.80	48.36
{19}	{7}	5.60	23.33
{7}	{19}	5.60	23.33
{2}	{14}	8.40	31.82
{14}	{2}	8.40	32.81
{19}	{3}	7.20	30.00
{3}	{19}	7.20	24.00
{8}	{13}	14.40	31.86
{13}	{8}	14.40	48.65
{17}	{13}	7.00	29.41
{13}	{17}	7.00	23.65
{18}	{13}	7.80	28.26
{13}	{18}	7.80	26.35
{5}	{7}	7.20	28.57
{7}	{5}	7.20	30.00
{12}	{7}	5.60	22.95
{7}	{12}	5.60	23.33
{10}	{6}	7.60	26.21
{6}	{10}	7.60	33.63
{4}	{15}	8.00	32.52
{15}	{4}	8.00	28.57
{12}	{4}	7.60	31.15
{4}	{12}	7.60	30.89
{16}	{3}	25.20	59.43
{3}	{16}	25.20	84.00
{11}	{12}	5.80	21.17
{12}	{11}	5.80	23.77
{9}	{3}	9.40	33.81
{3}	{9}	9.40	31.33
{2}	{6}	7.40	28.03
{6}	{2}	7.40	32.74
{0}	{12}	6.20	23.13
{12}	{0}	6.20	25.41
{0}	{5}	7.40	27.61
{5}	{0}	7.40	29.37
{13}	{6}	7.20	24.32
{6}	{13}	7.20	31.86
{0}	{17}	7.40	27.61
{17}	{0}	7.40	31.09
{14}	{15}	8.40	32.81
{15}	{14}	8.40	30.00
{10}	{18}	9.20	31.72
{18}	{10}	9.20	33.33
{18}	{14}	7.40	26.81
{14}	{18}	7.40	28.91
{17}	{3}	7.60	31.93
{3}	{17}	7.60	25.33
{2}	{13}	8.80	33.33
{13}	{2}	8.80	29.73
{17}	{2}	6.60	27.73
{2}	{17}	6.60	25.00
{18}	{19}	10.40	37.68
{19}	{18}	10.40	43.33
{11}	{4}	7.60	27.74
{4}	{11}	7.60	30.89
{10}	{19}	6.80	23.45
{19}	{10}	6.80	28.33
{16}	{9}	13.20	31.13
{9}	{16}	13.20	47.48
{13}	{15}	9.20	31.08
{15}	{13}	9.20	32.86
{3}	{7}	7.40	24.67
{7}	{3}	7.40	30.83
{13}	{14}	11.00	37.16
{14}	{13}	11.00	42.97
{0}	{1}	6.60	24.63
{1}	{0}	6.60	22.15
{3}	{6}	6.20	20.67
{6}	{3}	6.20	27.43
{14}	{6}	6.40	25.00
{6}	{14}	6.40	28.32
{1}	{18}	8.00	26.85
{18}	{1}	8.00	28.99
{1}	{17}	6.80	22.82
{17}	{1}	6.80	28.57
{1}	{12}	8.20	27.52
{12}	{1}	8.20	33.61
{1}	{5}	10.00	33.56
{5}	{1}	10.00	39.68
{8}	{6}	12.60	27.88
{6}	{8}	12.60	55.75
{4}	{14}	8.20	33.33
{14}	{4}	8.20	32.03
{16}	{18}	13.20	31.13
{18}	{16}	13.20	47.83
{16}	{10}	13.40	31.60
{10}	{16}	13.40	46.21
{11}	{7}	8.00	29.20
{7}	{11}	8.00	33.33
{8}	{16}	30.20	66.81
{16}	{8}	30.20	71.23
{9}	{18}	9.40	33.81
{18}	{9}	9.40	34.06
{8}	{11}	12.40	27.43
{11}	{8}	12.40	45.26
{9}	{10}	8.40	30.22
{10}	{9}	8.40	28.97
{1}	{2}	9.00	30.20
{2}	{1}	9.00	34.09
{18}	{11}	7.60	27.54
{11}	{18}	7.60	27.74
{8}	{9}	13.80	30.53
